latitude,longtitude,cloud-cover%
30.00,35.70,2.13
30.10,35.60,0.19
30.10,35.70,0.02
30.20,35.60,1.84
30.20,35.70,0.13
30.30,35.70,0.73
31.70,34.50,5.00
31.80,34.50,5.00
31.90,34.60,5.00
31.90,34.70,1.10
32.00,34.50,0.33
32.00,34.60,4.33
32.00,34.70,5.49
32.00,34.80,0.36
32.10,34.70,6.98
32.20,34.00,1.00
32.20,34.80,17.33
32.30,34.60,7.51
32.40,34.30,1.43
32.70,34.90,5.00
32.80,34.60,5.00
32.80,35.90,2.12
32.90,34.20,0.05
32.90,34.40,5.00
32.90,34.50,8.12
32.90,35.60,0.15
32.90,35.80,0.21
32.90,35.90,6.06
33.00,34.00,7.77
33.00,34.20,0.91
33.00,34.40,0.67
33.00,35.80,26.57
33.00,35.90,40.79
33.10,34.00,0.91
33.10,34.10,5.04
33.10,35.80,22.53
33.10,35.90,31.14
33.20,34.10,0.07
33.20,35.80,1.83
33.20,35.90,15.34
33.30,34.00,28.59
33.30,34.10,6.71
33.30,35.90,4.19
33.40,34.00,23.84
33.40,34.10,3.72
33.40,34.20,20.27
33.40,34.30,5.00
33.50,34.00,24.77
33.50,34.10,17.38
33.50,34.20,12.11
33.50,34.60,5.00
33.50,35.20,5.00
33.50,35.70,0.03
33.50,35.90,1.69
33.60,34.00,1.98
33.60,35.20,5.00
33.60,35.70,0.02
33.60,35.80,1.74
33.60,35.90,28.99
33.70,35.80,54.95
33.70,35.90,49.51
33.80,34.10,5.00
33.80,35.70,2.43
33.80,35.80,32.99
33.80,35.90,54.77
33.90,34.00,40.53
33.90,34.10,5.38
33.90,35.70,4.40
33.90,35.90,15.39